cycle,day,Temp,B_mean,B_sd,CTmin_mean,CTmin_sd,CTmax_mean,CTmax_sd,Topt_mean,Topt_sd,B_CTmin_cov,fitness_mean,fitness_sd
5139,1400,20,31.3881,1.1661,5.57635,1.17622,36.9645,1.5026,26.5018,1.29004,-0.242729,0.363037,0.188723
5140,1410,20,31.3896,1.14984,5.56349,1.18864,36.9531,1.5023,26.4899,1.29683,-0.239044,0.365728,0.186775
5141,1420,20,31.3721,1.16385,5.60632,1.16832,36.9784,1.48372,26.521,1.27342,-0.259051,0.357508,0.188104
5142,1430,20,31.3944,1.15023,5.5935,1.14722,36.9879,1.49076,26.5231,1.27525,-0.208391,0.36469,0.188429
5143,1440,20,31.3532,1.12959,5.59844,1.16823,36.9516,1.47731,26.5006,1.27528,-0.229152,0.362606,0.187772
5144,1450,20,31.3498,1.17513,5.59603,1.16201,36.9459,1.51198,26.4959,1.29123,-0.222564,0.365076,0.18681
5145,1460,20,31.3524,1.15616,5.61379,1.1801,36.9662,1.5304,26.5154,1.31476,-0.1936,0.365657,0.189503
5146,1470,20,31.3141,1.17258,5.59331,1.18065,36.9074,1.50606,26.4694,1.29276,-0.250347,0.36637,0.185447
5147,1480,20,31.3138,1.15939,5.61937,1.15546,36.9332,1.48464,26.4953,1.27113,-0.237551,0.361015,0.189734
5148,1490,20,31.2941,1.15644,5.60219,1.15202,36.8963,1.4808,26.4649,1.26769,-0.235868,0.361674,0.192225
5149,1500,20,31.3462,1.15892,5.62377,1.15365,36.97,1.47728,26.5212,1.26494,-0.245834,0.363,0.18838
5150,1510,20,31.336,1.15821,5.58225,1.15967,36.9183,1.4976,26.4729,1.28273,-0.221732,0.366164,0.188024
5151,1520,20,31.3417,1.14201,5.5825,1.14672,36.9242,1.48783,26.4769,1.27446,-0.202759,0.362377,0.186614
5152,1530,20,31.325,1.15343,5.596,1.15097,36.921,1.48831,26.4794,1.27383,-0.220028,0.367381,0.18949
5153,1540,20,31.3266,1.16283,5.59589,1.1571,36.9225,1.48511,26.4803,1.27129,-0.242748,0.358303,0.189979
5154,1550,20,31.3057,1.15521,5.58169,1.14879,36.8874,1.47749,26.4522,1.26439,-0.23563,0.363545,0.189565
5155,1560,20,31.3311,1.1482,5.57643,1.13505,36.9075,1.47098,26.4638,1.25658,-0.221468,0.367157,0.185978
5156,1570,20,31.3155,1.14126,5.56536,1.13845,36.8808,1.4957,26.4423,1.27828,-0.180705,0.365153,0.185597
5157,1580,20,31.3304,1.14721,5.58477,1.15247,36.9151,1.47601,26.4717,1.26597,-0.23283,0.362366,0.188069
5158,1590,20,31.3288,1.16638,5.58664,1.14837,36.9155,1.45029,26.4725,1.24076,-0.287924,0.366203,0.186605
5159,1600,20,31.335,1.16917,5.58667,1.14751,36.9217,1.47697,26.4767,1.26073,-0.251152,0.363353,0.18666
5160,1610,20,31.2989,1.1597,5.61852,1.13318,36.9174,1.47199,26.4845,1.25446,-0.23112,0.36418,0.188229
5161,1620,20,31.3105,1.16087,5.63539,1.14688,36.9459,1.47224,26.5091,1.25856,-0.247731,0.361056,0.187793
5162,1630,20,31.308,1.13377,5.61246,1.14186,36.9205,1.45809,26.4845,1.25152,-0.231631,0.360112,0.190057
5163,1640,20,31.298,1.14168,5.60312,1.14057,36.9011,1.48049,26.4684,1.26697,-0.206249,0.363576,0.186462
5164,1650,20,31.3154,1.15653,5.59301,1.12676,36.9084,1.46735,26.4699,1.24955,-0.227017,0.36364,0.187664
5165,1660,20,31.3281,1.17123,5.57228,1.12295,36.9004,1.49387,26.4577,1.2662,-0.200577,0.363791,0.188698
5166,1670,20,31.3513,1.13167,5.57204,1.12782,36.9233,1.46655,26.4729,1.25429,-0.200934,0.365422,0.189159
5167,1680,20,31.341,1.12138,5.58243,1.13352,36.9235,1.47001,26.4765,1.26074,-0.190715,0.363005,0.188219
5168,1690,20,31.3758,1.13847,5.56827,1.11829,36.9441,1.45982,26.4855,1.24481,-0.207797,0.366383,0.184874
5169,1700,20,31.3674,1.14892,5.58107,1.10942,36.9485,1.44297,26.4927,1.2268,-0.234324,0.366658,0.186575
5170,1710,20,31.4097,1.12003,5.60436,1.11402,37.0141,1.44159,26.5442,1.23303,-0.208666,0.367243,0.185324
5171,1720,20,31.362,1.11795,5.62625,1.12869,36.9883,1.46371,26.5343,1.25507,-0.190654,0.364272,0.188292
5172,1730,20,31.3741,1.12657,5.60914,1.13407,36.9832,1.47617,26.5252,1.26467,-0.188101,0.358161,0.187789
5173,1740,20,31.4111,1.10781,5.63048,1.12681,37.0416,1.45418,26.5712,1.24911,-0.191147,0.365287,0.187241
5174,1750,20,31.389,1.12851,5.59639,1.1391,36.9854,1.48052,26.5224,1.26918,-0.189567,0.359392,0.18796
5175,1760,20,31.3944,1.14632,5.60053,1.10833,36.9949,1.4697,26.5301,1.24798,-0.191218,0.36464,0.188294
5176,1770,20,31.3829,1.13398,5.59915,1.10478,36.982,1.46596,26.5211,1.24651,-0.178706,0.359081,0.189396
5177,1780,20,31.3834,1.13975,5.60453,1.09583,36.9879,1.46522,26.5268,1.24211,-0.176498,0.363035,0.186694
5178,1790,20,31.3609,1.12599,5.60101,1.09322,36.962,1.45156,26.5083,1.23342,-0.177971,0.362984,0.187279
5179,1800,20,31.3424,1.12842,5.62576,1.08703,36.9682,1.44879,26.5207,1.22892,-0.177977,0.369439,0.186838
5180,1810,20,31.3165,1.11743,5.64333,1.11761,36.9598,1.44655,26.521,1.2385,-0.202589,0.363225,0.188806
5181,1820,20,31.3111,1.13771,5.6194,1.10352,36.9305,1.46916,26.4935,1.24789,-0.176857,0.366046,0.185316
5182,1830,20,31.3025,1.13018,5.62564,1.103,36.9282,1.43778,26.494,1.22468,-0.213361,0.368047,0.185776
5183,1840,20,31.2802,1.1398,5.63714,1.12991,36.9173,1.47102,26.4906,1.25676,-0.205975,0.365789,0.187586
5184,1850,20,31.3045,1.1195,5.63143,1.09446,36.936,1.44682,26.5011,1.23138,-0.178924,0.363543,0.185642
5185,1860,20,31.3069,1.12509,5.61604,1.10841,36.9229,1.46668,26.4873,1.24993,-0.17163,0.363032,0.188068
5186,1870,20,31.2938,1.12009,5.60438,1.09986,36.8982,1.43861,26.4669,1.22644,-0.197352,0.364109,0.1881
5187,1880,20,31.2943,1.15501,5.64593,1.0663,36.9402,1.48006,26.5088,1.24215,-0.140228,0.365982,0.187312
5188,1890,20,31.3103,1.13157,5.63936,1.07028,36.9496,1.42852,26.5129,1.20737,-0.192641,0.363219,0.189202
5189,1900,20,31.3275,1.11979,5.6445,1.09785,36.972,1.43219,26.5295,1.22088,-0.20402,0.370564,0.186207
5190,1910,20,31.3218,1.12623,5.63003,1.08825,36.9518,1.43013,26.5112,1.21508,-0.203712,0.369075,0.187542
5191,1920,20,31.3182,1.12118,5.64974,1.09623,36.968,1.44389,26.5286,1.22927,-0.186971,0.361342,0.189115
5192,1930,20,31.2977,1.13021,5.65877,1.10456,36.9565,1.44315,26.5239,1.22934,-0.207374,0.364189,0.184244
5193,1940,20,31.3006,1.13874,5.68506,1.1096,36.9857,1.45674,26.5521,1.23975,-0.202918,0.36305,0.190381
5194,1950,20,31.3131,1.11322,5.68039,1.0853,36.9935,1.44179,26.5558,1.226,-0.169189,0.364206,0.185284
5195,1960,20,31.2988,1.1231,5.65905,1.08148,36.9578,1.42097,26.5249,1.20651,-0.205896,0.366039,0.187396
5196,1970,20,31.3038,1.11359,5.65675,1.09444,36.9605,1.44066,26.5259,1.22775,-0.181182,0.367576,0.186234
5197,1980,20,31.3058,1.12457,5.66267,1.09751,36.9684,1.45699,26.5332,1.23923,-0.17319,0.370144,0.185725
5198,1990,20,31.2885,1.11917,5.62861,1.09944,36.9171,1.44878,26.4876,1.23446,-0.181182,0.36321,0.188747
5199,2000,20,31.2717,1.11197,5.66137,1.07566,36.9331,1.43875,26.5092,1.22103,-0.161764,0.364226,0.187387
5200,2010,20,31.2864,1.12963,5.6767,1.09244,36.9631,1.46339,26.5343,1.24174,-0.163991,0.370066,0.187385
5201,2020,20,31.3097,1.11231,5.66924,1.0772,36.9789,1.42286,26.5424,1.20894,-0.186534,0.36631,0.18834
5202,2030,20,31.2808,1.13487,5.69973,1.08497,36.9805,1.44003,26.5536,1.2201,-0.195695,0.365664,0.185934
5203,2040,20,31.2948,1.10577,5.65754,1.1081,36.9523,1.44451,26.5207,1.23639,-0.181997,0.366401,0.187635
5204,2050,20,31.2822,1.11118,5.68972,1.11109,36.9719,1.44373,26.5445,1.23559,-0.192449,0.363391,0.187815
5205,2060,20,31.2907,1.12178,5.6948,1.07517,36.9855,1.4315,26.5553,1.21319,-0.18259,0.365978,0.183628
5206,2070,20,31.3065,1.1175,5.68942,1.08709,36.9959,1.43378,26.5604,1.21939,-0.187418,0.368758,0.185765
5207,2080,20,31.3109,1.10535,5.72301,1.09807,37.0339,1.419,26.5969,1.21358,-0.207008,0.362836,0.186806
5208,2090,20,31.2983,1.09711,5.67926,1.06486,36.9775,1.40209,26.5448,1.19209,-0.185862,0.367131,0.188439
